epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
57,73796.1,1.49699,1.88079,0.0103,0.41384,0.33065,0.34494,0.24105,1.34963,2.39376,0.01172,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.004605,0.001535,0.01842,0.00614
58,75222.3,1.50059,1.88043,0.01028,0.40973,0.33564,0.34624,0.24183,1.34961,2.39227,0.0117,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00441937,0.00147312,0.0176775,0.0058925
59,76434.6,1.49618,1.86082,0.01019,0.41415,0.33405,0.34727,0.2426,1.34921,2.39296,0.01169,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.00423375,0.00141125,0.016935,0.005645
60,77646.3,1.48833,1.8499,0.01014,0.40931,0.33516,0.34805,0.24335,1.34903,2.39144,0.01169,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00404812,0.00134937,0.0161925,0.0053975
61,78859.2,1.4886,1.85595,0.01018,0.41261,0.33405,0.34833,0.24381,1.34874,2.39072,0.0117,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.0038625,0.0012875,0.01545,0.00515
62,80075.7,1.4803,1.84045,0.01008,0.41315,0.33677,0.34897,0.24427,1.34847,2.38978,0.01169,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00367688,0.00122563,0.0147075,0.0049025
63,81394.6,1.47788,1.82858,0.00996,0.41992,0.33097,0.34994,0.2451,1.34703,2.38865,0.01169,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.00349125,0.00116375,0.013965,0.004655
64,82604.3,1.47633,1.82664,0.00996,0.41438,0.33358,0.34955,0.24536,1.34611,2.38814,0.01167,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00330562,0.00110188,0.0132225,0.0044075
65,83818.6,1.46842,1.81173,0.00988,0.41215,0.33534,0.35015,0.24581,1.3439,2.38921,0.01163,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00312,0.00104,0.01248,0.00416
66,85119,1.46748,1.80923,0.00985,0.413,0.33451,0.35042,0.24614,1.34255,2.38958,0.01161,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00293437,0.000978125,0.0117375,0.0039125
